,Source,Time Stamp,Tweet Text,Compound Score,Positive Score,Neutral Score,Negative Score
65,BBCWorld,Tue Jul 31 14:35:40 +0000 2018,"RT @BBCNews: #HappyBirthdayHarryPotter!

This is how the boy wizard enchanted the world https://t.co/IUE40g5UtA https://t.co/nQQb1kjkMf",0.4389,0.182,0.818,0.0
66,BBCWorld,Tue Jul 31 13:38:57 +0000 2018,Alaska Airlines: Gay man accuses company of discrimination https://t.co/37IMMxZbue,-0.34,0.0,0.769,0.231
67,BBCWorld,Tue Jul 31 13:26:28 +0000 2018,Slovakia alarmed by pro-Putin Night Wolves bikers' base https://t.co/xkes4ataUX,-0.34,0.0,0.769,0.231
68,BBCWorld,Tue Jul 31 13:06:21 +0000 2018,'Bigfoot erotica' row turns Virginia congressional race ugly https://t.co/pdYtm6gON8,-0.5106,0.0,0.708,0.292
69,BBCWorld,Tue Jul 31 12:53:23 +0000 2018,German heatwave causes beer bottle shortage as sales surge https://t.co/62E1UN4pIv,-0.25,0.0,0.818,0.182
70,BBCWorld,Tue Jul 31 12:46:06 +0000 2018,Did MI5 miss chance to catch Manchester Arena bomber Salman Abedi? https://t.co/u7PPXhALlv,0.1027,0.147,0.735,0.118
71,BBCWorld,Tue Jul 31 12:36:38 +0000 2018,Romanian police confiscate anti-government number plates https://t.co/nfC81DCEZ1,0.0772,0.178,0.822,0.0
72,BBCWorld,Tue Jul 31 12:33:58 +0000 2018,Düsseldorf neo-Nazi attack: Defendant acquitted of bomb blast https://t.co/J4AssUv1gj,-0.6486,0.14,0.42,0.441
73,BBCWorld,Tue Jul 31 12:23:52 +0000 2018,Iranians criticise Trump's offer of talks https://t.co/NjlnmBuHcU,-0.4404,0.0,0.674,0.326
74,BBCWorld,Tue Jul 31 12:08:32 +0000 2018,Italian athlete Osakue fears climate of violence after attack https://t.co/QBjyCyfn2V,-0.875,0.0,0.412,0.588
75,BBCWorld,Tue Jul 31 12:01:26 +0000 2018,Stranded Russian climber rescued after six-day ordeal in Pakistan https://t.co/oi8qbSW2yj,0.4215,0.237,0.763,0.0
76,BBCWorld,Tue Jul 31 11:24:12 +0000 2018,Kenya's Tourism Minister sorry for saying 'go to hell' https://t.co/rj3SDevE6f,-0.7096,0.0,0.576,0.424
77,BBCWorld,Tue Jul 31 10:52:03 +0000 2018,Colombia shoot-out kills eight in area hit by rebel feud https://t.co/IgOq5ouXWL,-0.7579,0.0,0.516,0.484
78,BBCWorld,Tue Jul 31 10:42:08 +0000 2018,Dareen Tatour: Israeli Arab poet sentenced for incitement https://t.co/6GLhP5wyDF,-0.0258,0.0,0.879,0.121
79,BBCWorld,Tue Jul 31 10:21:49 +0000 2018,Southern Agricultural Show: 'Special' bull named supreme champion https://t.co/3GyOfgeXkj,0.8176,0.517,0.483,0.0
80,BBCWorld,Tue Jul 31 10:11:57 +0000 2018,"The battle to stop former Islamic State fighters getting to Europe 

https://t.co/FFeNmOa2ne https://t.co/pUFcKzoKaS",-0.6124,0.0,0.625,0.375
81,BBCWorld,Tue Jul 31 09:21:52 +0000 2018,"Miss Helen, shark stolen in a pram, recovering in US aquarium https://t.co/jPxIarATwO",-0.5859,0.0,0.652,0.348
82,BBCWorld,Tue Jul 31 08:57:57 +0000 2018,Zimbabwe election: Mnangagwa and Chamisa both upbeat https://t.co/42xf894DGv,0.0,0.0,1.0,0.0
83,BBCWorld,Tue Jul 31 07:52:33 +0000 2018,New Zealand sexist road sign changed by seven-year-old girl https://t.co/ooHEslKjhD,0.0,0.0,1.0,0.0
84,BBCWorld,Tue Jul 31 07:47:23 +0000 2018,India telecom chief denies losing dare to hackers https://t.co/VjFUWULMcW,-0.6597,0.0,0.565,0.435
85,BBCWorld,Tue Jul 31 07:14:46 +0000 2018,"RT @BBCNewsbeat: Fans have praised Chrissy Teigan for showing her 'mom bod' 🙌
https://t.co/H21BRMFeYr",0.4939,0.211,0.789,0.0
86,BBCWorld,Tue Jul 31 07:02:10 +0000 2018,Does the death penalty deter rape in India? https://t.co/x214kpsRsn,-0.9118,0.0,0.341,0.659
87,BBCWorld,Tue Jul 31 05:49:49 +0000 2018,False widow spider 'devours' native lizard https://t.co/JRGZdGVoCd,0.0,0.0,1.0,0.0
88,BBCWorld,Tue Jul 31 03:37:41 +0000 2018,Lombok earthquake: 543 hikers evacuated from Mt Rinjani https://t.co/osNkO31id8,0.0,0.0,1.0,0.0
89,BBCWorld,Tue Jul 31 03:16:41 +0000 2018,Backpackers attacked with shovel in Australian bush https://t.co/ZuioxsSWKf,-0.4588,0.0,0.7,0.3
90,BBCWorld,Tue Jul 31 02:40:07 +0000 2018,"RT @AboutTheBBC: More women than ever before are watching, reading and listening to the BBC in #Afghanistan, thanks to @BBCWorldService htt…",0.4404,0.127,0.873,0.0
91,BBCWorld,Tue Jul 31 02:25:20 +0000 2018,"North Korea 'working on new missiles', US officials say https://t.co/N84Oc6IKIS",0.0,0.0,1.0,0.0
92,BBCWorld,Tue Jul 31 01:52:42 +0000 2018,"RT @bbcweather: #Winterlude will feel like a distant memory by this weekend, especially for those in the southern half of the country where…",0.3612,0.106,0.894,0.0
93,BBCWorld,Tue Jul 31 00:54:45 +0000 2018,UK man's rape conviction quashed in Sydney https://t.co/RXY0qDtVjG,-0.6908,0.0,0.598,0.402
